uncertainty,seek/sharing,Market_change,Instr,Task1Seek,ID_n
22,6,454,0,1,7
60,6,436,0,1,7
73,6,441,0,1,7
92,6,461,0,1,7
47,6,-404,0,1,7
29,6,442,0,1,7
21,6,480,0,1,7
25,6,-433,0,1,7
75,6,-500,0,1,7
65,6,-473,0,1,7
91,6,-404,0,1,7
31,6,432,0,1,7
44,6,430,0,1,7
34,6,490,0,1,7
21,6,460,0,1,7
51,6,484,0,1,7
10,6,-447,0,1,7
37,6,425,0,1,7
46,6,431,0,1,7
13,6,-493,0,1,7
8,6,-430,0,1,7
81,6,-405,0,1,7
83,6,413,0,1,7
61,6,450,0,1,7
20,6,468,0,1,7
19,6,408,0,1,7
47,6,-479,1,1,12
90,6,-406,1,1,12
9,6,453,1,1,12
33,6,-446,1,1,12
24,6,452,1,1,12
30,6,417,1,1,12
23,6,423,1,1,12
4,6,-489,1,1,12
95,6,-453,1,1,12
96,6,-432,1,1,12
33,6,-461,1,1,12
46,6,473,1,1,12
52,6,-469,1,1,12
14,6,491,1,1,12
2,6,430,1,1,12
55,6,443,1,1,12
4,6,473,1,1,12
13,6,425,1,1,12
21,6,-458,1,1,12
12,6,-423,1,1,12
35,6,-447,1,1,12
86,6,422,1,1,12
65,6,-407,1,1,12
24,6,424,1,1,12
9,6,465,1,1,12
84,6,-479,1,1,12
89,6,468,1,1,12
4,6,-488,1,1,12
75,6,494,1,1,12
45,6,433,1,1,12
74,6,-446,1,1,12
49,6,441,1,1,12
22,6,425,1,1,12
62,6,473,1,1,12
53,6,-481,1,1,12
66,6,-408,1,1,12
19,6,434,1,1,12
42,6,464,1,1,12
5,6,473,1,1,12
76,6,454,1,1,12
40,6,472,0,1,12
17,5,443,0,1,12
89,6,416,0,1,12
75,6,-476,0,1,12
56,5,-492,0,1,12
87,6,478,0,1,12
66,5,-463,0,1,12
45,5,-455,0,1,12
95,6,406,0,1,12
68,6,487,0,1,12
74,6,-409,0,1,12
26,4,457,0,1,12
64,6,482,0,1,12
5,1,-447,0,1,12
81,6,-491,0,1,12
34,4,493,0,1,12
85,6,486,0,1,12
96,6,479,0,1,12
16,5,494,0,1,12
71,6,482,0,1,12
36,6,-500,0,1,12
13,4,-417,0,1,12
48,6,-449,0,1,12
3,1,470,0,1,12
13,2,-435,0,1,12
35,6,-483,0,1,12
17,3,-420,0,1,12
42,6,479,0,1,12
37,5,485,0,1,12
46,6,427,0,1,12
9,1,468,0,1,12
1,0,494,0,1,12
84,6,-491,0,1,12
64,6,423,0,1,12
58,6,-433,0,1,12
99,6,452,0,1,12
70,6,475,0,1,12
22,3,-431,0,1,12
1,0,437,0,1,12
43,5,457,0,1,12
46,2,422,1,1,15
1,6,483,1,1,15
39,1,-499,1,1,15
82,2,487,1,1,15
88,0,-469,1,1,15
33,4,498,1,1,15
11,5,403,1,1,15
21,1,-423,1,1,15
57,2,409,1,1,15
92,1,442,1,1,15
3,6,421,1,1,15
2,6,436,1,1,15
18,5,407,1,1,15
90,1,445,1,1,15
