n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
24,37,6,1,-457,1,4,479,1
25,5,1,1,491,1,4,491,1
27,25,1,0,-473,1,4,-473,1
28,79,4,0,-469,1,4,-469,1
29,39,1,0,-438,1,4,-438,1
30,62,3,0,-423,1,4,-423,1
32,72,3,0,-477,1,4,-477,1
33,46,3,1,468,1,4,468,1
34,19,4,0,-441,1,4,-420,1
35,44,3,0,-445,1,4,-445,1
36,90,6,0,408,1,4,-477,1
37,47,2,1,442,1,4,442,1
38,8,1,0,-475,1,4,-475,1
40,9,1,1,452,1,4,452,1
41,77,3,1,-459,1,4,409,1
42,7,1,1,487,1,4,487,1
43,68,6,1,-428,1,4,461,1
44,6,1,0,-409,1,4,-409,1
46,97,6,1,499,1,4,500,1
47,73,4,0,-415,1,4,-415,1
48,86,4,1,434,1,4,486,1
1,22,0,0,-456,0,4,-456,1
2,14,0,1,496,0,4,496,1
3,76,6,1,-455,0,4,456,1
4,55,6,0,-499,0,4,-461,1
5,21,1,0,-487,0,4,-487,1
7,43,6,0,-443,0,4,-443,1
8,95,6,1,-425,0,4,481,1
9,23,0,0,-469,0,4,-469,1
11,23,0,1,470,0,4,470,1
12,30,1,0,-494,0,4,-494,1
13,38,5,0,490,0,4,-409,1
14,18,1,0,-426,0,4,-426,1
15,21,6,1,-484,0,4,484,1
17,99,5,0,-470,0,4,-491,1
18,40,1,1,452,0,4,452,1
19,88,6,1,-460,0,4,437,1
20,93,1,1,-472,0,4,445,1
21,38,6,1,-447,0,4,470,1
22,23,1,1,479,0,4,479,1
24,45,1,0,-482,0,4,-411,1
25,1,4,0,-448,0,4,-448,1
27,50,2,1,458,0,4,429,1
28,12,2,0,-443,0,4,-443,1
29,98,3,1,461,0,4,434,1
30,55,1,0,-457,0,4,-457,1
32,4,1,1,478,0,4,478,1
33,29,1,0,-416,0,4,-416,1
34,15,1,1,425,0,4,425,1
35,97,2,1,437,0,4,420,1
36,43,6,0,497,0,4,-420,1
37,18,2,0,-449,0,4,-449,1
38,27,2,0,-491,0,4,-491,1
40,66,6,0,403,0,4,-443,1
41,17,5,1,-484,0,4,409,1
42,30,1,1,417,0,4,417,1
43,25,6,0,473,0,4,-452,1
44,93,5,0,-408,0,4,-451,1
46,92,4,0,-475,0,4,-432,1
