n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
40,8,0,0,-471,0
41,69,0,0,-447,0
42,35,0,1,448,0
43,43,0,0,-417,0
44,36,0,0,-438,0
46,5,0,0,-480,0
47,49,0,0,-445,0
48,80,0,0,-416,0
1,83,1,0,472,1
2,44,4,0,-400,1
3,74,3,0,-478,1
4,15,6,1,439,1
5,33,5,0,-474,1
7,55,3,1,401,1
8,42,4,0,-429,1
9,12,6,0,-486,1
11,89,0,0,-442,1
12,91,0,1,-439,1
13,42,4,0,-482,1
14,10,6,0,-474,1
15,28,5,0,-434,1
17,89,0,1,437,1
18,23,0,0,478,1
19,22,6,1,492,1
20,17,5,1,455,1
21,69,1,1,466,1
22,18,5,0,-420,1
24,51,1,0,-470,1
25,88,0,1,-488,1
27,27,4,1,411,1
28,6,6,0,-482,1
29,68,2,1,441,1
30,13,1,0,-481,1
32,46,2,0,-427,1
33,33,4,1,401,1
34,33,4,0,-498,1
35,18,5,1,417,1
36,87,0,0,414,1
37,4,0,1,-440,1
38,74,0,0,442,1
40,59,2,1,437,1
41,19,0,1,-407,1
42,59,2,1,401,1
43,85,0,0,463,1
44,4,6,1,460,1
46,1,6,1,460,1
47,79,1,1,-455,1
48,1,6,0,-443,1
1,33,5,1,403,0
2,55,6,0,444,0
3,77,2,1,467,0
4,26,6,1,464,0
5,46,5,0,-410,0
7,1,6,0,-434,0
8,26,5,0,-428,0
9,20,5,1,-426,0
11,48,5,0,468,0
12,19,6,1,408,0
13,54,3,1,410,0
14,22,5,1,438,0
15,89,0,0,442,0
17,78,1,0,-454,0
18,91,0,0,-486,0
19,7,6,0,-432,0
20,62,1,1,430,0
21,52,2,0,-407,0
22,19,5,0,-420,0
24,1,6,0,-442,0
25,52,2,0,-462,0
27,14,6,1,488,0
28,18,6,1,401,0
29,59,2,0,-450,0
30,33,4,0,422,0
32,76,1,1,464,0
33,98,0,0,443,0
34,49,3,1,474,0
35,57,2,1,487,0
36,3,6,1,444,0
37,41,4,0,-480,0
38,36,2,1,-403,0
40,10,6,0,-424,0
41,31,5,0,-468,0
42,55,3,1,-456,0
43,8,6,0,-459,0
44,15,6,0,-429,0
46,40,4,0,488,0
47,27,5,0,-427,0
48,28,5,1,492,0
1,65,6,1,-407,1
2,92,6,0,-463,1
3,68,6,0,-403,1
4,40,6,0,-410,1
5,62,6,0,-485,1
7,34,6,0,-409,1
8,83,6,1,487,1
9,38,6,0,-436,1
11,7,6,1,452,1
12,42,6,1,448,1
13,39,6,1,417,1
14,76,6,1,-478,1
15,91,6,1,-444,1
17,89,6,1,-410,1
18,43,6,1,420,1
19,26,6,0,-435,1
20,67,6,0,-487,1
21,72,6,0,-471,1
22,63,6,0,-488,1
24,83,6,0,-494,1
25,97,6,0,439,1
27,14,6,1,485,1
28,64,6,1,402,1
29,58,6,1,-432,1
30,47,6,0,479,1
32,62,6,1,468,1
33,58,6,1,437,1
34,43,6,1,410,1
35,69,6,0,-428,1
36,92,6,1,407,1
37,12,6,1,402,1
38,61,6,1,-417,1
40,96,6,0,-401,1
41,64,6,0,478,1
42,30,6,0,-442,1
43,27,6,1,468,1
44,89,6,0,-460,1
46,32,6,1,402,1
47,67,6,1,-447,1
48,86,6,1,-474,1
1,54,6,1,-416,0
2,42,6,1,421,0
3,84,6,1,-438,0
4,87,6,1,-452,0
5,68,6,0,-475,0
7,19,6,0,-426,0
8,91,6,0,444,0
9,86,6,0,-413,0
11,78,6,1,-421,0
12,52,6,0,-437,0
13,27,6,0,-405,0
14,29,6,1,408,0
15,96,6,0,-422,0
17,56,6,0,-469,0
18,5,6,1,500,0
19,54,6,0,-425,0
20,63,6,0,-429,0
21,10,6,1,470,0
22,77,6,0,-479,0
24,45,6,0,-481,0
25,33,6,0,-468,0
27,46,6,1,450,0
28,9,6,1,484,0
29,14,6,1,443,0
30,9,6,1,407,0
32,43,6,1,453,0
33,93,6,1,-481,0
34,15,6,1,434,0
35,32,6,1,462,0
36,21,6,0,-411,0
37,88,6,0,431,0
38,31,6,1,479,0
40,51,6,0,-445,0
41,80,6,1,473,0
42,3,6,0,-434,0
43,8,6,1,471,0
44,22,6,0,-403,0
46,21,6,0,-416,0
47,69,6,0,-498,0
48,63,6,0,-404,0
1,22,6,0,-448,1
2,99,6,0,-482,1
3,15,6,1,460,1
4,24,6,0,-456,1
5,23,6,0,-472,1
7,75,6,1,-440,1
8,15,6,0,-451,1
9,7,6,1,476,1
11,55,6,1,432,1
12,75,6,1,-441,1
13,15,6,0,-482,1
14,76,6,0,-447,1
15,50,6,0,-429,1
17,70,6,1,471,1
18,91,6,1,480,1
19,14,6,1,461,1
20,91,6,0,467,1
21,95,6,0,-423,1
22,44,6,1,-404,1
24,55,6,1,458,1
25,46,6,1,482,1
27,28,6,1,440,1
28,12,6,1,-405,1
29,89,6,0,497,1
30,45,6,1,491,1
32,86,6,1,-443,1
33,16,6,0,-437,1
34,59,6,0,-439,1
35,43,6,1,-454,1
36,41,6,0,-492,1
37,88,6,1,-428,1
38,91,6,0,-408,1
40,32,6,1,419,1
41,47,6,0,402,1
42,49,6,0,-415,1
43,76,6,1,491,1
44,31,6,1,434,1
46,56,6,1,-456,1
47,43,6,0,-430,1
48,17,6,1,-498,1
1,32,4,0,-476,0
2,8,4,0,-442,0
3,17,4,1,400,0
4,63,3,0,-486,0
5,23,4,1,500,0
7,7,3,0,-405,0
8,46,5,1,468,0
9,35,4,1,456,0
11,45,3,1,464,0
12,76,4,1,430,0
13,17,3,1,441,0
14,91,4,0,-438,0
15,82,5,1,-498,0
17,14,4,1,406,0
18,26,4,0,-468,0
19,19,3,0,-498,0
20,25,3,0,-460,0
21,71,5,1,458,0
22,2,4,1,426,0
24,39,4,0,-494,0
25,45,5,1,423,0
27,31,4,1,495,0
