n_trial,uncertainty,seek,mc_model,Instr
3,67,4,-417,1
4,9,5,417,1
5,97,4,467,1
7,31,5,443,1
8,33,5,-425,1
9,3,6,408,1
11,67,4,406,1
12,70,5,476,1
13,35,6,480,1
14,99,6,-500,1
15,47,6,-431,1
17,56,3,478,1
18,32,4,460,1
19,57,5,429,1
20,80,6,-400,1
21,64,6,-436,1
22,69,6,457,1
24,90,6,-460,1
25,59,6,-472,1
27,80,6,-462,1
28,50,6,421,1
29,8,2,418,1
30,30,4,434,1
32,15,4,484,1
33,99,6,431,1
34,66,6,-493,1
35,3,1,-500,1
36,97,6,-490,1
37,66,6,-448,1
38,16,5,446,1
40,3,3,442,1
41,49,6,469,1
42,68,6,-423,1
43,3,2,499,1
44,50,6,-462,1
46,18,0,-417,1
47,3,0,450,1
48,28,5,-403,1
1,64,2,-403,1
2,1,0,-401,1
3,94,4,414,1
4,33,6,420,1
5,59,6,-481,1
7,12,6,465,1
8,72,2,-476,1
9,17,6,458,1
11,73,2,-401,1
12,85,1,-434,1
13,47,5,467,1
14,91,6,-443,1
15,87,5,422,1
17,98,6,441,1
18,35,6,438,1
19,16,6,479,1
20,35,1,-495,1
21,62,4,431,1
22,91,5,-473,1
24,73,5,406,1
25,45,4,-467,1
27,47,5,452,1
28,23,1,-407,1
29,5,0,-483,1
30,71,4,425,1
32,6,6,409,1
33,99,5,-447,1
34,92,5,475,1
35,16,2,-426,1
36,90,3,-414,1
37,22,6,493,1
38,22,4,450,1
40,17,2,-421,1
41,3,6,449,1
42,58,4,435,1
43,2,0,-420,1
44,7,5,407,1
46,37,4,451,1
47,51,4,432,1
48,85,3,460,1
1,57,5,-454,1
2,10,3,484,1
3,92,6,443,1
4,64,5,-454,1
5,49,5,433,1
7,2,5,-461,1
8,57,5,405,1
9,24,5,-484,1
11,3,5,423,1
12,51,5,420,1
13,13,5,-486,1
14,77,5,476,1
15,81,5,435,1
17,94,3,435,1
18,82,4,-446,1
19,43,4,-468,1
20,45,4,-432,1
21,44,5,-427,1
22,94,4,-494,1
24,43,5,427,1
25,62,4,412,1
27,61,5,-472,1
28,24,4,-494,1
29,44,5,-455,1
30,6,5,-409,1
32,7,5,-450,1
33,8,5,487,1
34,7,5,-448,1
35,47,5,-482,1
36,25,5,405,1
37,27,5,-467,1
38,41,5,-465,1
40,80,4,-479,1
41,59,5,474,1
42,39,4,-485,1
43,12,6,469,1
44,19,4,489,1
46,43,4,-410,1
47,9,4,-449,1
48,51,4,-436,1
1,1,6,-473,1
2,16,6,-415,1
3,77,6,-413,1
4,32,6,465,1
5,36,6,456,1
7,24,6,-491,1
8,50,6,484,1
9,15,6,-447,1
11,71,6,-484,1
12,35,6,451,1
13,57,6,438,1
14,63,6,432,1
15,81,6,-471,1
17,24,6,-405,1
18,62,6,-492,1
19,37,6,-437,1
20,31,6,-458,1
21,4,6,-445,1
22,87,6,-429,1
24,4,6,-447,1
25,75,6,495,1
27,71,6,-419,1
28,99,6,437,1
29,9,6,-478,1
30,1,6,478,1
32,20,6,-411,1
33,71,6,404,1
34,42,6,-484,1
35,12,6,483,1
36,32,6,487,1
37,28,6,-478,1
38,65,6,-401,1
40,90,6,457,1
41,91,6,486,1
42,56,6,459,1
43,38,6,-469,1
44,36,6,470,1
46,24,6,473,1
47,37,6,428,1
48,28,6,-420,1
1,99,0,482,1
2,73,2,470,1
3,73,2,-498,1
4,6,6,435,1
5,14,5,493,1
7,20,5,429,1
8,86,1,478,1
9,7,6,-400,1
11,13,5,408,1
12,59,3,458,1
13,50,2,-419,1
14,49,3,-418,1
15,41,3,-498,1
17,39,4,408,1
18,4,6,413,1
19,59,3,-428,1
20,64,2,-441,1
21,83,1,489,1
22,50,3,-441,1
24,92,5,455,1
25,5,6,475,1
27,24,5,-456,1
28,8,6,-406,1
29,54,3,403,1
30,40,4,-498,1
32,97,1,465,1
33,65,2,497,1
34,42,3,-492,1
35,58,2,-461,1
36,40,4,-419,1
37,19,5,463,1
38,90,2,-431,1
40,56,3,488,1
41,81,1,425,1
42,89,1,-417,1
43,44,3,-467,1
44,66,2,468,1
46,58,3,-442,1
47,56,3,-433,1
48,33,4,-452,1
1,58,4,500,0
2,79,6,-441,0
3,61,6,-412,0
4,86,3,493,0
5,25,6,-420,0
7,82,6,-500,0
8,14,4,493,0
9,21,4,-418,0
11,10,0,-482,0
12,88,3,-423,0
13,25,6,485,0
14,82,3,-422,0
15,41,5,-420,0
17,55,5,-446,0
18,95,6,-496,0
19,92,6,400,0
20,68,5,-473,0
21,48,5,-497,0
22,14,6,-477,0
24,70,5,-484,0
25,46,6,450,0
27,80,6,446,0
28,65,3,-482,0
29,60,5,-419,0
30,63,5,-452,0
32,30,0,-493,0
33,44,4,459,0
34,62,0,-413,0
35,78,4,413,0
36,29,0,-442,0
37,97,6,-432,0
38,13,4,484,0
40,58,5,421,0
41,9,0,-449,0
42,39,5,461,0
43,77,3,-437,0
44,35,5,481,0
46,92,6,464,0
47,56,0,-412,0
48,25,6,478,0
1,24,4,405,0
2,45,3,478,0
3,74,2,493,0
4,2,6,401,0
5,81,1,-465,0
7,45,3,499,0
8,99,0,433,0
9,58,3,-409,0
11,47,4,-437,0
12,52,3,-494,0
13,56,3,458,0
14,56,3,472,0
15,57,2,419,0
17,9,6,-430,0
18,72,2,482,0
19,20,5,-482,0
20,40,3,427,0
21,72,3,494,0
22,13,4,485,0
24,17,4,-415,0
25,21,4,497,0
27,42,4,483,0
28,15,4,-490,0
29,5,6,489,0
30,17,5,455,0
32,7,5,449,0
33,94,1,474,0
34,44,3,-426,0
35,58,2,-445,0
36,91,2,-473,0
37,11,5,481,0
38,35,4,-410,0
40,69,2,-493,0
41,99,0,-472,0
42,38,2,470,0
43,41,6,-425,0
44,44,4,-485,0
46,42,4,-417,0
47,92,4,-437,0
48,73,4,-481,0
1,35,3,-473,0
2,14,1,-438,0
3,44,4,429,0
4,40,4,-498,0
5,21,1,-416,0
7,66,5,496,0
8,76,5,472,0
9,55,4,448,0
11,61,4,-428,0
12,82,5,-456,0
13,85,5,-404,0
14,10,1,-441,0
15,2,1,-497,0
17,82,5,-410,0
18,95,5,411,0
19,52,4,-418,0
20,27,2,-464,0
21,24,3,-434,0
22,42,3,439,0
24,3,1,461,0
25,44,3,473,0
27,61,5,-414,0
28,74,5,-478,0
29,1,1,481,0
30,68,5,-419,0
32,98,6,463,0
33,51,3,403,0
34,87,6,-486,0
35,41,3,438,0
36,12,1,-416,0
37,13,1,-415,0
38,99,6,421,0
40,59,3,435,0
41,30,2,488,0
42,57,3,421,0
43,57,3,465,0
44,41,3,475,0
46,57,3,-411,0
47,45,3,404,0
48,48,3,434,0
1,12,0,-475,0
2,16,0,-478,0
3,13,6,416,0
4,2,6,403,0
5,90,1,406,0
7,4,0,-406,0
8,69,2,411,0
9,20,6,459,0
11,22,6,494,0
12,17,6,446,0
13,35,4,451,0
14,52,1,-448,0
15,33,5,460,0
17,87,2,402,0
18,99,2,498,0
19,44,4,476,0
20,68,2,424,0
21,30,0,-487,0
22,2,0,-434,0
24,26,0,-462,0
25,4,0,-467,0
27,81,3,461,0
28,27,0,-457,0
29,66,4,446,0
30,71,3,453,0
32,49,4,402,0
33,65,3,465,0
34,64,3,401,0
35,25,6,483,0
36,17,0,-483,0
37,64,1,-410,0
38,10,0,-410,0
40,31,6,483,0
41,72,2,-418,0
42,10,6,434,0
43,8,6,456,0
44,51,0,-494,0
46,19,6,443,0
47,60,0,-485,0
48,45,0,-458,0
1,39,4,448,1
2,62,6,449,1
3,94,6,430,1
4,21,3,-478,1
5,81,5,433,1
7,89,4,417,1
8,10,6,432,1
9,62,3,-477,1
11,85,2,405,1
12,57,3,404,1
13,37,5,-406,1
14,90,2,460,1
15,18,1,-405,1
17,12,1,438,1
18,64,1,-416,1
19,19,5,-476,1
20,29,1,403,1
21,19,1,433,1
22,58,3,500,1
24,84,5,-418,1
25,80,2,461,1
27,80,2,-417,1
28,27,1,-415,1
29,26,1,482,1
30,69,1,453,1
32,12,0,415,1
33,37,5,-440,1
34,23,2,468,1
35,87,1,429,1
36,47,2,419,1
37,98,6,-421,1
38,61,2,-412,1
40,24,5,-457,1
41,78,1,461,1
42,63,2,-482,1
43,60,1,-414,1
44,65,1,-492,1
46,69,6,500,1
47,70,2,434,1
48,58,1,479,1
1,10,3,433,0
2,23,4,-426,0
3,47,5,495,0
4,91,6,432,0
5,77,5,-469,0
7,31,4,406,0
8,33,5,-458,0
9,72,6,-483,0
11,66,6,467,0
12,83,6,430,0
13,32,5,-461,0
14,46,5,490,0
15,60,6,-431,0
17,42,4,459,0
18,50,5,-417,0
19,64,6,-423,0
20,5,2,465,0
21,57,5,-449,0
22,96,6,-411,0
24,6,1,427,0
25,49,5,-475,0
27,45,5,466,0
28,20,3,408,0
